title,author_info,rating,pros,cons,helpful
Excellent company,"Jun 1, 2022 - Service Engineer in Miami, FL",5,Excellent company to work for,"None to share, great environment to grow",Be the first to find this review helpful
friendly environment,"May 28, 2022 - Program Manager",5,colleges are friendly and supportive. work-life balanced.,There's not much room for young people to grow up,Be the first to find this review helpful
Great Company,"May 16, 2022 - Summer Intern in Herndon, VA",5,I learned a lot in this company. The team is amazing and it is very supportive. a lot of flexibility.,Sometimes it is hard to make connections with other people.,Be the first to find this review helpful
Sony review,"May 11, 2022 - Anonymous Employee",5,Good pay really solid culture,its not flexible depending on department,Be the first to find this review helpful
no comments,"May 24, 2022 - Senior Research Engineer",2,work with smart people work with cutting edge technology,toxic working environment low paid terrible WLB,Be the first to find this review helpful
Nice,"May 4, 2022 - Anonymous Employee",5,A great place to work,I hate working at this place!,Be the first to find this review helpful
Great work environment,"Apr 26, 2022 - Front End Developer in Johannesburg, MI",5,Salary Work hours Health Care,Benefits Culture Work hours Health Care,Be the first to find this review helpful
Great Place,"Apr 25, 2022 - Director of Development in New York, NY",5,Creative environment that empowers you.,Not many cons to speak of.,Be the first to find this review helpful
Sony GISD,"Mar 30, 2022 - Senior Manager Cybersecurity",2,Sony as a company is great. Benefits are really good. Salaries are good. Sony as a whole cares about it's employees.,GISD (the security group for Sony) is the worst organization to work for. Upper management refuses to make decisions then blames employees for lack of progress. Too many people in the org don't have any understanding of security or good enough IT knowledge to work at this level. Moral is low in most groups. If you are lucky enough to work in a group that actually has high moral it may not last long.,Be the first to find this review helpful
Good company,"Apr 21, 2022 - Programmer Analyst in New York, NY",5,very good company to work,food in the kitchen was not good,Be the first to find this review helpful
Good,"May 3, 2022 - Anonymous Employee",4,good working atmosphere on site,Will have some overtime hours,Be the first to find this review helpful
nice place,"May 2, 2022 - Consultant in New York, NY",3,Office space is very nice,I do not have any,Be the first to find this review helpful
Very good,"Apr 11, 2022 - Product Manager in New York, NY",5,fast promotion with competitive compensation,salary promotion is not that good,Be the first to find this review helpful
Good work,"Apr 6, 2022 - Associate Consultant in New Haven, CT",5,Fun time working there in Sony,Long hours sometimes but it is okay,Be the first to find this review helpful
Best place to work,"Apr 21, 2022 - Anonymous Employee",2,Culture is great and growth opportunities,It is a a far drive,Be the first to find this review helpful
Artist,"Apr 4, 2022 - Level Artist in San Diego, CA",5,was a an excellent workplace,hard work and high standards for demanding projects,Be the first to find this review helpful
great employer,"Mar 31, 2022 - Cyber Intel Analyst in Herndon, VA",5,"fun, laid back environment with a bunch of opportunites",pay is lower than other places,Be the first to find this review helpful
great overall,"Mar 29, 2022 - Sales Assistant in New York, NY",5,"Really flexible schedule, fun environment, learn from others",Kind of strict but I mean what job isn't,Be the first to find this review helpful
Great company,"Mar 24, 2022 - Associate Market Manager",5,Great company to work for excellent leadership. Great perks benefits.,No more retail marketing department.,Be the first to find this review helpful
its a living,"Apr 5, 2022 - Location Manager in Wilmington, NC",3,its a paycheck i guess,still the bastion corporate america,Be the first to find this review helpful
Great start,"Apr 3, 2022 - Territory Manager in Ontario, CA",3,"Hands on with latest tech, good discounts",No room for growth. Doesn't like to promote within.,Be the first to find this review helpful
Great Place to start career,"Mar 30, 2022 - Administrative Assistant",2,"Lots of studio experience, interact with all parts of the company. Great benefits, dentist and gym on-site.","Hard place to grow, very political, can be toxic work environment.",Be the first to find this review helpful
Sony,"Mar 11, 2022 - Technical Recruiter in Walnut Creek, CA",5,Working for Sony is a great experience!!,While working for Sony I havnt experienced any cons,Be the first to find this review helpful
n/a,"Mar 23, 2022 - N/A - Not Applicable",3,great company to work for,worldwide offices are the best,Be the first to find this review helpful
Great,"Mar 4, 2022 - Administrative Assistant",5,Great community and you meet a lot of people,Little benefits if you are working as a production assistant,Be the first to find this review helpful
Had a good time,"Mar 14, 2022 - Associate in New York, NY",4,Cool place to work at,Some people can’t take a joke,Be the first to find this review helpful
Company Review,"Mar 13, 2022 - Sales Executive in New York, NY",3,Great office with nice People. Great benefits.,"Hard products to sell, technology was not there.",Be the first to find this review helpful
Amazing,"Feb 24, 2022 - Sales Expert in Austin, TX",5,"Great pay, no micromanaging and amazing coworkers",Nothing ! It was a phenomenal experience.,Be the first to find this review helpful
I loved it here!,"Feb 21, 2022 - Social Media Manager in Los Angeles, CA",5,Sony had a great corporate structure.,I didn't feel like I had much creative control.,Be the first to find this review helpful
intern,"Feb 14, 2022 - Internship",5,Good pay. and great people and experience,"None, the internship was perfect",Be the first to find this review helpful
Good company,"Feb 27, 2022 - Senior Manager in Los Angeles, CA",3,Good company with tons of benefits! Salary is great! Work load varies by the team. Treats employees with respect,Cronies and favoritism pulls down other pros! Management should pay attention on this area,Be the first to find this review helpful
Good learning experience,"Feb 24, 2022 - Digital Marketing Specialist in Los Angeles, CA",4,Interesting environment and an easy company to learn quickly on the job,High expectations (little room for error),Be the first to find this review helpful
Good company,"Feb 24, 2022 - SW-Engineer",3,"Good company to work, not much pressure","Slow progress, management, talent, projects",Be the first to find this review helpful
Great company,"Jan 31, 2022 - Junior Attorney in Park Ridge, NJ",5,"Nice people. Great, interesting work.",I didn’t have any cons.,Be the first to find this review helpful
Not ready to commit,"Feb 12, 2022 - Senior Game Designer in San Diego, CA",3,"Great benefits, lots of potential (squandered).","Highly political, people unwilling to take risks or put forth opinions, lack of alignment on groups goals, LOTS of egos, arrogance and cliques.",Be the first to find this review helpful
Best Job Ever,"Jan 25, 2022 - Administrative Assistant in Herndon, VA",5,Love the job and the people!,No downsides to this job.,Be the first to find this review helpful
Great,"Jan 24, 2022 - Executive in Culver City, CA",5,"Lots of job security, so you can build a career there.",Risk of catching Covid on the lot.,Be the first to find this review helpful
Build end to end application,"Jan 25, 2022 - Software Developer",5,It was a great place to work,I don't see any cons,Be the first to find this review helpful
Good place to work,"Jan 21, 2022 - Software Engineer in San Diego, CA",5,"Good environment, good extras and good teamwork",I don’t have any negative points,Be the first to find this review helpful
Great,"Jan 19, 2022 - Anonymous Employee",5,"Great company. Very professional, good environment","None, can’t think of one flaw",Be the first to find this review helpful
last year was 2013,"Feb 2, 2022 - Anonymous Employee",4,the pay was really good,was laid off in 2013,Be the first to find this review helpful
Very Welcoming,"Jan 18, 2022 - Administrative Assistant in Los Angeles, CA",5,Great work-life balance and benefits,Some systems used internally are not very efficient,Be the first to find this review helpful
None,"Jan 16, 2022 - Concept Artist in San Francisco, CA",5,Good work good company good hours,too much work tight deadlines sometimes unclear briefs,Be the first to find this review helpful
Good company,"Jan 14, 2022 - User Experience Designer in Middleton, WI",5,Good employment benefit manager is nice,Sometime heavy workload on projects,Be the first to find this review helpful
Good place to work,"Jan 21, 2022 - Software Developer in San Diego, CA",4,Good work and life balance,No a lot of growth opportunities,Be the first to find this review helpful
Amazing place,"Jan 4, 2022 - Business Solutions Specialist in Chicago, IL",5,Great people to work with,Not a great place for pay hikes,Be the first to find this review helpful
Director of Life Science Business Division,"Jan 4, 2022 - Senior Product Manager",4,Top level benefits amongst MNC Comfortable and ideal environment for working till retirement,"Too conservative business strategies Unwilling to explore new industries like diagnostics, wasting the cutting edge technologies",Be the first to find this review helpful
Avoid,"Jan 24, 2022 - Finance Manager in Culver City, CA",1,Get to see celebrities and cool campus,"If boss doesn’t like you, they will put you on a performance plan. Impossible to appease. Worked 7 days a weeks, 15 hour days",Be the first to find this review helpful
"These guys were okayish, not best and certainly not the worst.","Jan 2, 2022 - Software Engineer in Huston, PA",2,Nice benefits and overall good compensation structure with 401k,The management is a mess and should be dealt with,Be the first to find this review helpful
Decent Company,"Dec 29, 2021 - Software Engineer in San Francisco, CA",3,Good Work life balance Passionate people Decent compensation.,Average management Top down culture Mediocre calibration and review process,Be the first to find this review helpful
Sony,"Dec 15, 2021 - Customer Service Representative in Las Vegas, NV",5,Great company to work for,There is no cons in my job. I just want s change,Be the first to find this review helpful
Good place to work,"Dec 11, 2021 - Regional Sales Manager",5,Good work atmosphere. Great people.,Nice place to work at,Be the first to find this review helpful
Great,"Dec 23, 2021 - Accounts Payable Clerk in Seattle, WA",3,Good pay and company culture,Somewhat quick employee turnaround at the company.,Be the first to find this review helpful
Interesting Work,"Dec 20, 2021 - Legal Counsel",4,Work on a variety of different issues. Great people.,Hard to move up and can sometimes be long hours.,Be the first to find this review helpful
Increadible communication,"Dec 20, 2021 - Lead Engineer in New York, NY",4,Good pay Great communication Friendly work environment,Late hours Toxic hr Crowded work stations,Be the first to find this review helpful
good,"Nov 30, 2021 - Anonymous Employee",5,good environment forworker to communicate,need more push in project,Be the first to find this review helpful
Ok,"Dec 11, 2021 - Executive Assistant in New York, NY",3,Good company to work for,Very less communication between management and team,Be the first to find this review helpful
Average,"Dec 9, 2021 - Senior Associate Digital Experience in New York, NY",3,Work across a variety of entertainment and technology avenues,Difficult to grow career in corporate environment,Be the first to find this review helpful
Get in and get out,"Dec 5, 2021 - Senior Analyst in Miami, FL",3,Travel and good for your resume,Long exhausting hours. Sexist environment.,Be the first to find this review helpful
Eh,"Dec 4, 2021 - Vice President in New York, NY",2,The employee discount they give you,The company has been on the verge of bankruptcy for decades.,Be the first to find this review helpful
good company,"Nov 26, 2021 - Coder in New York, NY",4,pays well very well very well,no cons none never seen it,Be the first to find this review helpful
Music,"Nov 20, 2021 - Assistant Planner in Terre Haute, IN",4,"Hours, climate control, close to home","Advancement, new products, communication, hour consistency",Be the first to find this review helpful
Not what I thought,"Nov 11, 2021 - Analyst in Charleston, SC",3,Good pay and interesting people.,Long hours and occasional weekends.,Be the first to find this review helpful
Nice people but limited room for advancement,"Nov 10, 2021 - Tax Manager in New York, NY",4,Great brand name. Great opportunity to learn.,Dept is very top heavy. Very hard to advance.,Be the first to find this review helpful
Great,"Oct 27, 2021 - Client Relationship Manager in Los Angeles, CA",5,"Fun, educational, growth, entertaining, networking",The only con is that it will take a long time to advance,Be the first to find this review helpful
Fantastic place employee friendly,"Oct 18, 2021 - Senior Consultant in New York, NY",5,Great working and human touch,long hours makes sometimes a big challenging,Be the first to find this review helpful
Unstable but awesome company culture,"Oct 25, 2021 - QA Tester Analyst in Scranton, CA",3,- Great cultural atmosphere - Great people to work with - Fun job,"- Pay is low - Job is unstable and you could be let go at any time, regardless of the quality of work. - Because the job is so unstable, favoritism is in play.",Be the first to find this review helpful
nice,"Oct 8, 2021 - Product Manager in Alexandria, VA",5,place to nice to place,thanks thanks thanks thanks thanks,Be the first to find this review helpful
great company,"Oct 5, 2021 - Payroll Clerk in Hemet, CA",5,"good times. compatative salary, good boss","long work week , bad bathrooms",Be the first to find this review helpful
excellent,"Oct 5, 2021 - Manager in Los Angeles, CA",5,tend to work long term employment,low salary against work load,Be the first to find this review helpful
Work Life,"Oct 18, 2021 - Social Media Manager in New York, NY",4,Friendly and simultaneously aggressive people,Cut throat environment - lots of after hours work.,Be the first to find this review helpful
Great,"Oct 13, 2021 - Software Engineer in Los Angeles, CA",4,Great leadership. Been happy with the job so far.,Salary sucks. Working hours are sometimes bad.,Be the first to find this review helpful
Okay,"Oct 13, 2021 - Anonymous Employee",3,"Coworkers, casual dress code, great workplace environment","Manager, outdated systems and processes",Be the first to find this review helpful
Jj,"Sep 26, 2021 - User Experience Designer in New York, NY",5,Very interesting productive and slayy,Actually it's kinda bored pleade just,Be the first to find this review helpful
No growth,"Oct 8, 2021 - Anonymous Employee",3,Sense of pride for the company,Hard to grow despite effort,Be the first to find this review helpful
great workplace,"Sep 23, 2021 - Manager in Richmond, VA",5,they have a good process,short lunch breaks are no fun,Be the first to find this review helpful
False culture,"Oct 5, 2021 - Anonymous Employee",2,No pros unless you’re a member of “the club”,"Lack of training budget, management support, team growth.",Be the first to find this review helpful
Yes,"Sep 29, 2021 - Financial Analyst in New York, NY",4,Great work environment and atmosphere.,Long working hours and unpredictable hours.,Be the first to find this review helpful
Great,"Sep 21, 2021 - Anonymous Employee",4,It's a great place to work,It has very few cons,Be the first to find this review helpful
good,"Sep 13, 2021 - Senior Quality Assurance Engineer in Cupertino, CA",4,good company to work with,management is not that great.,Be the first to find this review helpful
N/a,"Aug 25, 2021 - Intern",5,Great bosses that mentor you,Hard to meet many departments,Be the first to find this review helpful
camera sales,"Sep 8, 2021 - Public Relations in Miami, FL",4,good quality product at competitive prices,limited inventory through out all the nation at this time makes it hard to sell the product,Be the first to find this review helpful
Low wages and long hours,"Sep 4, 2021 - Art %26 Design in San Diego, TX",4,"Humane can eat, lunch break and tea drink",Working hours are too long! I basically don't have time to socialize,Be the first to find this review helpful
Working at SCA,"Sep 2, 2021 - Human Resources Generalist in New York, NY",4,"extensive benefits, great headquarters building with amenities.",smaller corporation as this is the US parent company. Not as many growth opportunities. some teams are not as great as others.,Be the first to find this review helpful
Excellent,"Aug 16, 2021 - Director Trade Compliance in San Diego, CA",5,Cares about its people. World Class Organization,Very large organization with complex structures,Be the first to find this review helpful
employment = slavery,"Aug 31, 2021 - Systems Engineer in Seattle, WA",2,Nice people. its the best part of the job,"tickets, policys, incremental downtime, corporate.",Be the first to find this review helpful
Great people and workplace culture,"Aug 24, 2021 - Associate",4,Managers actually care about their work,Different operating subs can have coordination issues,Be the first to find this review helpful
It''s just finr,"Aug 23, 2021 - Release Manager",4,Sure its fine ok leave me alone,Why are tyo like this gosh,Be the first to find this review helpful
Excellent company with cons,"Jul 28, 2021 - Senior Executive Assistant in Atlanta, GA",5,Great environment to learn from talented individuals and work on amazing projects.,The promotions are few and far between. Usually not based on merit.,Be the first to find this review helpful
Fun place to work,"Jun 21, 2021 - Sales Associate in Boca Raton, FL",3,Fun place to work with nice coworkers,Company that does not take accountability for their own short comings,Be the first to find this review helpful
You'll be happy to be working here,"Jun 3, 2021 - Front Desk Receptionist/Administrative Assistant in Glassell Park, CA",5,"Great pay, excellent benefits, creative culture.",You'll miss working here once you're gone.,Be the first to find this review helpful
Great benefits and fabulous place to work,"May 28, 2021 - Legal Assistant in Los Angeles, CA",5,"Great benefits, room for growth, congenial co-workers.","Big company, sometimes don't agree with executives at the top and the decisions they make.",Be the first to find this review helpful
Good culture,"May 31, 2021 - Accountant in New York, NY",4,Work life balance is good,Middle management could sometimes be blind sided,1 person found this review helpful
Best,"May 14, 2021 - Director in San Jose, CA",5,Best experience working at Sony,I dont have anything to say as cons.,Be the first to find this review helpful
Cool,"May 9, 2021 - Software Engineer",5,Fun place to work at when I was there i liked it,Upper management can show little emotion towards employees,Be the first to find this review helpful
Good benefits,"May 7, 2021 - Worker",5,They offer good benefits here,There are sometimes long hours.,Be the first to find this review helpful
Great,"Apr 29, 2021 - Sales",5,everything is really great! yah!,nothing. nothing is bad and i love my job,1 person found this review helpful
Slowly moving but improving,"May 10, 2021 - Operations Analyst",4,"Reputable reference, collaborative, innovative, Kando, best of the best","Salary, work life imbalance, change takes longer than used to, slowly becoming progressive",1 person found this review helpful
Marketing,"May 11, 2021 - Marketing Manager in New York, NY",4,Marketing team is extremely collaborative,The opportunity for growth is limited,Be the first to find this review helpful
Great place,"Apr 23, 2021 - Anonymous Employee",5,"great opportunities, 401K, dental, vision, vacation",Managers don't support development of employee,1 person found this review helpful
studio,"May 7, 2021 - Producer in Los Angeles, CA",3,can make more array of films,doesn’t make enough array of films,1 person found this review helpful
Great life/work balance,"Apr 20, 2021 - Sales Specialist in San Jose, CA",5,Life and work balance is great,Hitting targets could sometimes be stressful,1 person found this review helpful
Great Company,"May 5, 2021 - Senior Business Analyst",4,Excellent benefits and work-life balance,Declining business and sales budget reduction year after year mean annual workforce cuts,Be the first to find this review helpful
Programmer,"Apr 30, 2021 - Programmer Analyst",4,good company at the best,not good benefits at the best,1 person found this review helpful
Sony,"Apr 13, 2021 - Supervisor in Fresno, CA",5,Great benefits and retirement plan,Not any cons to list,1 person found this review helpful
More accounting than tax,"Apr 26, 2021 - Tax Manager in New York, NY",3,Great benefits and lovely coworkers.,Focused mostly on identifying trial balances than looking at the tax law. The accounting is messy.,Be the first to find this review helpful
Review at a glance,"Apr 19, 2021 - Senior Software Developer in Los Angeles, CA",4,Great team & lot of opportunity to learn,Office Politics is something you want to avoid,1 person found this review helpful
Sony Great Company To Work,"Mar 31, 2021 - Executive Project Sales and Service Operations Manager in Saint Louis, MO",5,"Growth, Empowerment, Good Benefits, Good Pay.",Security analyst program was cut short,1 person found this review helpful
Great WLB,"Mar 29, 2021 - Accountant in Los Angeles, CA",5,"Great WLB, unlimited vacation, moderate 401k",reluctant to change; too many layer of corporate hierarchy,1 person found this review helpful
Great Place of Work,"Mar 31, 2021 - Senior Account Manager in San Francisco, CA",5,Flexibility and amazing product line,Competitive to advance but fair meritocracy,Be the first to find this review helpful
Yes,"Apr 7, 2021 - IT Technician in Los Angeles, CA",4,Good pay and good perks,Short lunches and rare time off,Be the first to find this review helpful
Sony - a great company,"Apr 7, 2021 - Senior Business Development Manager in San Francisco, CA",4,Great teams and good benefits,Internal politics could drive you crazy sometimes...,Be the first to find this review helpful
So so experience,"Apr 7, 2021 - Sales Associate",3,Good benefits including medical and 401K,Constant reorganization leaves people in limbo,Be the first to find this review helpful
salary,"Apr 5, 2021 - Senior Financial Analyst",2,The pay is just okay,"Too much work, not good pay",Be the first to find this review helpful
One of the best place to work,"Apr 2, 2021 - Senior Director in San Diego, CA",4,Freedom an Flexibility at it's best,"Legacy Technologies, Applications and Infrastructure environment",Be the first to find this review helpful
Great,"Mar 31, 2021 - Senior Solutions Architect in Jersey City, NJ",4,Great benefits and work environment,Decisions made without consulting employees,Be the first to find this review helpful
Great work culture,"Mar 31, 2021 - Executive",4,very respectful towards every one and strict policies that ensures great work practices,better politics with upper management,Be the first to find this review helpful
Great,"Mar 16, 2021 - Sales Associate in Raleigh, NC",5,Awesome boss benefits perks hours,"none, none, none, none, none",Be the first to find this review helpful
hello,"Mar 29, 2021 - Anonymous Employee",3,discounts was a really fun job,i cant really think of any,Be the first to find this review helpful
Good place to work for start off your career,"Mar 24, 2021 - Warehouser in Bolingbrook, IL",3,Learn new skills and get the experience necessary to move on,Poor management skills in every department,1 person found this review helpful
Enviroment,"Mar 8, 2021 - Project Coordinator in San Francisco, CA",5,Good good good good good,Bad bad bad bad bad,Be the first to find this review helpful
Good,"Mar 8, 2021 - Music Director in New York, NY",5,"Good job, pay, benefits, time off",nothing of note to share,Be the first to find this review helpful
salary,"Mar 23, 2021 - Operator in San Diego, CA",2,"relaxed, easy environment, and always has work","bad pay, has no growth potential ,",Be the first to find this review helpful
Real,"Mar 21, 2021 - Administrative Assistant in New York, NY",4,Music is a fun environment to work in,Downside is sometimes it’s unprofessional,Be the first to find this review helpful
Awesome,"Mar 4, 2021 - Project Manager",5,Great people in this working experience.,Long hours and interesting international travel.,Be the first to find this review helpful
Salary,"Mar 19, 2021 - Software Engineer in San Diego, CA",4,"Great company, good benift and workload",I don't have any bad word.,Be the first to find this review helpful
Sales & Marketing Manager with 25+ years experience in the US and Latin America Region,"Mar 4, 2021 - Sales Manager, Latin America in Miami, FL",5,"Ethical, Professional, Leader, Team Player, Strategic, Reliable, Organized, Proactive, Writing and Communication Skills, Time Management, Project-based, Knowledge, Cultural, Assertive, Trustworthy, Work Well Under Pressure, Road Warrior","Persuasive, Demanding, Goal-Seeker, Trust in Delegating",Be the first to find this review helpful
Goood,"Mar 9, 2021 - Engineer in New York, NY",4,Good work and great people,Slow to market and market change,Be the first to find this review helpful
software,"Feb 15, 2021 - Software in San Mateo, CA",5,helpful fun innovative collaborative exciting,none nada zilch zero no,1 person found this review helpful
Sony Product Analyst,"Feb 10, 2021 - Senior Product Analyst in Los Anglin, WV",5,"Great organizational culture, employee benefits, and diverse team",Time - did alot of overtime,1 person found this review helpful
Great work experience,"Feb 3, 2021 - Marketing Specialist",5,Great benefits and abiLity to learn a lot,Lots of speedbumps and beauracracy,Be the first to find this review helpful
Great Place,"Feb 3, 2021 - Sales Manager in Novi, MI",5,A great place to work,No real cons to be noted,Be the first to find this review helpful
Great,"Jan 31, 2021 - Warehouse Worker in Chicago, IL",5,It is great to work at sony,Sometimes you are tired after working a lot,Be the first to find this review helpful
Review,"Feb 14, 2021 - Business Development Manager in Sweden, ME",4,Good colleagues and international company,Bonuses could be better than it is today.,Be the first to find this review helpful
Temp point of view,"Jan 24, 2021 - Royalty Analyst Temp in Rutherford, NJ",5,You get to learn new things. Expand your knowledge and try to programs. Working here is really nice quiet and friendly. Everyone is friendly and will help you if you need help.,Work can be a little repetitive.,1 person found this review helpful
Flexible,"Feb 6, 2021 - Senior Manager, Marketing in San Diego, CA",4,Edge technology with opportunity to learn new skills,long hours and travel. Decision comes from HQ Japan.,Be the first to find this review helpful
Good,"Feb 5, 2021 - Team Lead",4,good work life balance in sony,I dont see any cons so far,Be the first to find this review helpful
Best Place to Work,"Jan 19, 2021 - Sales and Marketing Specialist in Phoenix, AZ",5,Great pay and management lets you tackle issues how you see fit and helps you figure out your game plan,Extra benefits would be nice,Be the first to find this review helpful
Good place to work but no loyalty or care for employees.,"Jan 26, 2021 - Anonymous Employee in Los Angeles, CA",4,"Great access, nice benefits, nice environment to work in. I found everyone very helpful and nice. Overall it was an enjoyable workplace.",I was laid off.... during the pandemic. I then interviewed within Sony and had a few of the worst interview experiences of my life and was even sent generic automated rejection letters. Honestly after working there over three years and the sting of being laid off and made vulnerable during a pandemic from a company that was bringing in so much money.. and then to be treated not so nice after... Pretty surprising and based on the experience I had working there.,2 people found this review helpful
Job,"Jan 15, 2021 - Finance",5,Very Great people work here,None at this time of the review,Be the first to find this review helpful
great culture,"Jan 15, 2021 - Marketing Director in San Diego, CA",5,"transparent, supportive, consistent driven leadership",efforts to strike the right work life balance,Be the first to find this review helpful
Best Environment,"Jan 12, 2021 - Accountant in Irvine, CA",5,Friendly and helpful staffs. cozy places.,"Too good. Too friendly, very good. very very good sooo good.",Be the first to find this review helpful
Its ok....,"Jan 23, 2021 - Factory Worker in Bolingbrook, IL",3,All the over time you can handle,Not much space to grow,Be the first to find this review helpful
Great,"Dec 24, 2020 - Anonymous Employee",5,Good hours but less pay,A lot of work to do no balance,Be the first to find this review helpful
great,"Jan 4, 2021 - Personal Assistant in Los Angeles, CA",4,great job love it continue 5 words,five word minimum so i could look at reviews,Be the first to find this review helpful
Great place To work,"Jan 2, 2021 - Software Engineer",4,Great place To work @,Benefit could be better @,Be the first to find this review helpful
support day to day operations,"Dec 30, 2020 - IT Analyst in Reston, VA",4,very welcoming of all races,sometimes have to work overtime,Be the first to find this review helpful
Overall very good place to work,"Nov 27, 2020 - Display Engineer",5,Relatively high salary than other companies.,Too many senior employees and management.,Be the first to find this review helpful
Good company,"Dec 12, 2020 - Anonymous Employee",4,"Good company culture, good mission and vision statements",Some managers are not capable,Be the first to find this review helpful
Great place to work!,"Nov 26, 2020 - Maintenance in New York, NY",5,"benefits, wages, environment, employees and management",none to mention at this time,Be the first to find this review helpful
Good place to work,"Nov 23, 2020 - Television Executive in Los Angeles, CA",5,Very collaborative and employee friendly,Large company but still small company feel,Be the first to find this review helpful
good place to work,"Dec 7, 2020 - SWE Intern",4,good env and friendly staff,management is kind of ok,Be the first to find this review helpful
Great company,"Nov 18, 2020 - Technology Analyst in New York, NY",5,Work life balance is amazing and plenty of career opportunities,No downside to the company thus far,Be the first to find this review helpful
great,"Nov 20, 2020 - Software Engineer",4,video games are awesome distractions,cant play xbox games ever,Be the first to find this review helpful
Excellent,"Nov 3, 2020 - Intern in Miami, FL",5,Excellent place to work at,I loved my experience there,Be the first to find this review helpful
Nice People,"Nov 13, 2020 - Accounting Clerk",3,"good people, safe workplace, good benefits,","No room for advancement, middling management",Be the first to find this review helpful
Great company but lacks long terms action plans,"Nov 10, 2020 - Senior Business Planner in Miami, FL",4,"A multicultural company where you can learn about other cultures, languages and dynamics. Compensation and Benefits are great.","The company does not have the objectives aligned between all its departments and regions, which makes each employee work independently for their goals and without unification, which is why it is difficult not to have a clear picture of where the company is going long term and avoid spending money uselessly.",Be the first to find this review helpful
Work For Sony,"Nov 10, 2020 - Customer Service in San Jose, CA",4,"Great place to work, excellent culture",Salary and opportunities for growth,Be the first to find this review helpful
Great work culture,"Oct 21, 2020 - Senior Finance Manager in San Diego, CA",5,"Casual work environment, commitment to employees, great culture with excellent co-workers",Near constant re-organization of groups in the company is confusing,Be the first to find this review helpful
Amazing company!,"Oct 13, 2020 - Account Manager",5,I just think this is an awesome company,No cons for this amazing company,Be the first to find this review helpful
Would recommend,"Oct 10, 2020 - Tax Intern in New York, NY",5,"Friendly environment, teams work well together",Not really any cons here.,Be the first to find this review helpful
Amazing,"Sep 30, 2020 - Warehouse Worker in Tulsa, OK",5,"Great pay, thought it was very nice","None, they do it so well",Be the first to find this review helpful
Intern,"Oct 14, 2020 - Production Assistant in Los Angeles, CA",4,"traditional studio, coffee, paid, phone calls",very archaic - executives dont give you the time of day,Be the first to find this review helpful
well paid,"Sep 29, 2020 - Senior Accountant in Herndon, VA",5,"work life balance, great leadership",big company takes time to know everyone,Be the first to find this review helpful
Thinly staffed,"Oct 12, 2020 - Counsel in Los Angeles, CA",2,"Smart people, interesting work, amazing colleagues.","Essentially no end to the work day, no weekends, push back for requested vacations. Senior management within each company is not diverse.",Be the first to find this review helpful
Pretty pretty good,"Sep 24, 2020 - Programmer in Germany, TX",5,There is a lot of work to do,Sometimes there isn’t much work to do,Be the first to find this review helpful
Cutting Edge (formerly),"Oct 6, 2020 - IT Manager",3,"Good work environment, newer technologies","lack of mgmt support, limited growth",Be the first to find this review helpful
Great Company,"Sep 13, 2020 - Marketing Manager in New York, NY",5,Great workalike balance with childrenn,No promotion or growth within company,Be the first to find this review helpful
marketing digital,"Aug 29, 2020 - Marketing in Jacksonville, FL",5,"good place to work, great work environment","a lot of overtime is done, the workload is high",Be the first to find this review helpful
Review,"Sep 13, 2020 - Senior Project Manager in Los Angeles, CA",3,Very flexible with my work schedule,Culver City is not an easy commute for those that live outside the area.,Be the first to find this review helpful
Thumbs up!,"Aug 26, 2020 - Anonymous Employee",5,People and culture and benefits,Older building and jet planes flying overhead,Be the first to find this review helpful
good job Sony,"Sep 9, 2020 - Product Manager in San Diego, CA",4,great people at the company,"lots of hopes and dreams, not much commitment to long term disruption.",Be the first to find this review helpful
Fun,"Aug 25, 2020 - Intern in Culver City, CA",5,Great place to work for,No cons it was a great experience,Be the first to find this review helpful
Sony a great company to work for.,"Aug 14, 2020 - Senior Director, Finance",5,A company of innovation and great people,divisions don't communicate well beyond entity.,Be the first to find this review helpful
Handler,"Aug 28, 2020 - Warehouse Associate in Houston, TX",4,A good amount of work to do,Nothing to complain about really,Be the first to find this review helpful
Good company to work from.,"Aug 24, 2020 - Senior Systems Engineer",3,Gives good bonus Good work life balance,"Top management all from Intuit, if you from Intuit you would get promoted fast and get excellent bonus.",Be the first to find this review helpful
Great benefits,"Aug 8, 2020 - Marketing Coordinator in New York, NY",3,Great benefits and perks for employees,long hours and negative culture,Be the first to find this review helpful
Great,"Jun 24, 2020 - Developer in San Francisco, CA",5,It's a great place to work,Nothing really bad about working here,Be the first to find this review helpful
"PlayStation isn’t just the Best Place to Play, it’s also the Best Place to Work !","Jun 25, 2020 - Senior Software Engineering Manager in San Diego, CA",4,- Good salary and benefits - Great teammates - Best place to achieve your personal development goals,Not a great balance of work and life,Be the first to find this review helpful
"Good company, Not FAANG Salary, Average growth","Jun 19, 2020 - Software Engineer in San Diego, CA",4,"Job security, Leadership is not bad, Good team","Growth is restricted, Too many PMs for no reason",Be the first to find this review helpful
Great company,"May 25, 2020 - Program Manager, Organizational Design Job Evaluation in Oklahoma City, OK",5,great company to work for,was quite stressful at times but overall was a great experience with the company.,Be the first to find this review helpful
Awesome,"May 21, 2020 - HRBP in San Diego, CA",5,Great company to work for all day long.,None. This is a very good company to work for. The only con is that I left.,Be the first to find this review helpful
