title,author_info,rating,pros,cons,helpful
Good company with bad managment,"Jul 5, 2015 - Global Supply Chain in Klang",4,"Nice working environment, Dealing with global marketing, chances to participate new project.","Low-pay, working-life imbalance, hard to get promote (if your superior is not taking VSS)",Be the first to find this review helpful
Work & Salary,"Jul 4, 2015 - Design Engineer in Bayan Lepas",4,"Work life balance, stable income, peaceful working environment & friendly colleagues, clear job scope & divide to each other, good leader management","Low pay n slow increment, job repeat same everyday, less new thing to learn about",Be the first to find this review helpful
Work culture,"Jun 29, 2015 - Engineer in Tokyo",4,Employee friendly company for engineers,None in particular with regards to cons,Be the first to find this review helpful
Delivery Manager,"Jun 25, 2015 - Delivery Manager in Bangalore",4,It's complete delegation of role and responsibilities. Best work life balance and opportunity to learn and improve your skills.,More favoritism; less career growth,Be the first to find this review helpful
Good learning platform,"Jun 25, 2015 - Anonymous Employee in Kuala Lumpur",3,- You dont have to hide mistakes. Just be honest and will not be heavily penalized for them. - Good place to learn and grow,- Working culture is such that long working hours is a norm and expected. - Overtime pay is really low.,Be the first to find this review helpful
Hard to get back to its glorious days!,"Jun 24, 2015 - Online Marketing Specialist in Istanbul",4,You get to to work with really smart people. Company culture is amazing with a bit bureaucracy. There is empowerment from the senior management and they realized that they need to change and adopt even though it is a bit late now. Work life balance is a big plus at Sony.,"Compensation is not the best. Dont expect to work here for long years. Company is selling out its divisions, so there are not many long term opportunities here.",Be the first to find this review helpful
senior engineer,"Jun 23, 2015 -",4,Best working environment work life balance working hours,No cons. good company to work,Be the first to find this review helpful
sony valencia,"Jun 23, 2015 - Anonymous Employee",4,"nice perks, very nice office","long hours, annoying customers sometimes",Be the first to find this review helpful
comfortable place to work,"Jun 22, 2015 - IP Associate in Tokyo",4,easy going working atmosphere and you can feel pretty less pressure while comparing with other Japanese companies. Pay is slight higher than it competitors. You can always easily get your paid leaves.,If you want a promotion you'd be speak native level Japanese. internal approval procedures are tremendously complicated and tedious so they move not so quickly.,Be the first to find this review helpful
Sony Centres,"Jun 17, 2015 - Assistant Manager in London, England",3,Great team to work with at Sony Centres. one product brand - in one store total focus and team work. Always something new or a one off design products to keep you on your toes.,Sadly there is far to many Sony Centre swallowed up by the online sales. Not great salary or promotion.,Be the first to find this review helpful
senior project manager,"Jun 15, 2015 - IT Project Manager in Lund, Skåne",2,global working environment and challenging assignments.,no clear strategy or vision. too big for any swift changes in business strategy,Be the first to find this review helpful
